dataset,exponential_L6_c1_2,normal_std30_L6_c1_2,poisson_L6_c1_2,capped_base_stock,basestock,constant
zinb_pi0p3_r2_p0p8_L6_c1_2_test,35.10600094,35.106001,35.106,35.11,35.11,35.11
zinb_pi0p3_r2_p0p6_L6_c1_2_train,86.28335021,86.34497977,86.205894,89.88,89.88,96.54
zinb_pi0p3_r2_p0p6_L6_c1_2_test,86.77419084,86.80558753,86.36849513,89.26,89.26,94.76
zinb_pi0p3_r2_p0p4_L6_c1_2_train,167.2706816,167.2753664,167.2414658,183.91,184.73,167.27
zinb_pi0p3_r2_p0p4_L6_c1_2_test,167.0148173,167.0747024,166.9682426,184.72,184.99,167.07
zinb_pi0p3_r2_p0p3_L6_c1_2_train,247.7530248,247.7144933,247.6501277,274.56,280.5,259
zinb_pi0p3_r2_p0p3_L6_c1_2_test,252.7198258,252.7746819,252.5921508,276.51,282.28,264.27
zinb_pi0p3_r2_p0p2_L6_c1_2_train,434.5997796,434.7248509,434.057905,456.42,485.37,438.86
zinb_pi0p3_r2_p0p2_L6_c1_2_test,420.6304265,420.583048,420.4921833,440.33,474.12,421.43
zinb_pi0p3_r2_p0p1_L6_c1_2_train,902.1020607,902.9922809,899.1856525,918.4,1020.74,902.94
zinb_pi0p3_r2_p0p1_L6_c1_2_test,917.2847115,919.1057004,913.355058,941.93,1043.66,919.22
zinb_pi0p3_r10_p0p8_L6_c1_2_train,127.8556833,127.8235527,128.3117427,148.78,149.63,128.59
zinb_pi0p3_r10_p0p8_L6_c1_2_test,128.6537854,128.6063783,128.8957785,147.29,148.08,130.08
zinb_pi0p3_r10_p0p6_L6_c1_2_train,304.5858112,303.8534659,304.2426099,327.73,355.52,308.56
zinb_pi0p3_r10_p0p6_L6_c1_2_test,304.6767062,304.5665123,304.070137,327.34,362.4,309.71
zinb_pi0p3_r10_p0p4_L6_c1_2_train,641.0548704,641.3366917,641.0875938,681.7,795.6,653.37
zinb_pi0p3_r10_p0p4_L6_c1_2_test,649.8055805,649.9334392,650.2374369,682.02,789.62,661.2
zinb_pi0p3_r10_p0p3_L6_c1_2_train,984.0889306,980.1932965,979.9661729,995.67,1229.38,1005.43
zinb_pi0p3_r10_p0p3_L6_c1_2_test,993.841447,996.2811735,993.9499313,1002.89,1222.24,1006.31
